"subject","course","textbook_isbn","bookstore_new","bookstore_used","amazon_new","amazon_used"
"Electrical and Computer Engineering","Introduction to Electrical Engineering",NA,NA,NA,NA,NA
"Electrical and Computer Engineering","Logic Design of Digital Systems",NA,NA,NA,NA,NA
"Engineering","Introduction to Engineering Design: Go-karts",NA,NA,NA,NA,NA
"Engineering","Introduction to Engineering Design: Internet of Things",NA,NA,NA,NA,NA
"Engineering","Introduction to Engineering Design: Rockets",NA,NA,NA,NA,NA
"English","UCLA Centennial Initiative: Burning Books--UCLA, Fahrenheit 451, and Politics of Libraries",9781451673319,9.96,8.96,8.99,NA
"English Composition","Approaches to University Writing for Multilingual Students",9789891812596,20,NA,NA,NA
"English Composition","High-Intermediate Composition for Multilingual Students",NA,NA,NA,NA,NA
"English Composition","Intermediate Composition for Multilingual Students",9781108662260,39.97,32.97,35,34.3
"Ethnomusicology","Instruction in Jazz Performance: Guitar",NA,NA,NA,NA,NA
"Ethnomusicology","Instruction in Jazz Performance: Piano",NA,NA,NA,NA,NA
"Ethnomusicology","Instruction in Jazz Performance: Trumpet",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Performance Organizations: Music of African Americans",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Performance Organizations: Open Ensemble: Irish Music Ensemble",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Performance Organizations: Open Ensemble: Old-Time String Band Ensemble",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Specializations: Music of Balkans--Choir",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Specializations: Music of Balkans--Instrumental Music",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Specializations: Music of China--Chinese Opera",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Specializations: Music of China--Ensemble",NA,NA,NA,NA,NA
"Film and Television","Introduction to Art and Technique of Filmmaking",9781319059514,132.75,99.75,78.67,69.69
"French","Elementary French",9781337739467,149.97,NA,152.95,504.5
"French","Elementary French",9781337739467,149.97,NA,152.95,504.5
"Geography","Introduction to Geographic Information Systems",NA,NA,NA,NA,NA
"German","Intermediate German",9781626809529,219.97,167.25,NA,NA
"History","History of Science: Renaissance to 1800",9780333970027,43.96,38.96,41.99,22
"History","Inequality: History of Neoliberalism",9780807081778,12.77,12,12.23,15.65
"History","Introduction to Historical Practice: Culture Wars: Battles, Debates, and Skirmishes about Cultural Property in Contemporary Era",NA,NA,NA,NA,NA
"History","Introduction to Western Civilization: Ancient Civilizations, Prehistory to circa A.D. 843",9780495913030,114.96,91.96,119.95,96.79
"Indigenous Languages of the Americas","Elementary Nahuatl",NA,NA,NA,NA,NA
"Italian","Elementary Italian--Continued",NA,NA,NA,NA,NA
"Italian","Intermediate Italian",NA,NA,NA,NA,NA
"Japanese","Elementary Modern Japanese",NA,NA,NA,NA,NA
"Latin","Elementary Latin",9781585103904,29.97,27.75,36.95,12.89
"Law","Nonviolence and Women's Self-Defense",9780997996401,19.95,15,19.95,12.98
"Life Sciences","Quantitative Concepts for Life Sciences",9780465097678,11.96,9.26,10.87,7.3
"Linguistics","Klingon Language and Linguistics",9780061336461,17.26,12.46,16.79,5.58
"Management","Principles of Accounting",9781260666939,124.96,99.96,NA,NA
"Mathematics","Calculus for Life Sciences Students",9781118988527,109.97,NA,NA,NA
"Mathematics","Calculus of Several Variables",9781319025397,103.97,88.25,112.99,66.97
"Mathematics","Calculus of Several Variables",9781319025397,103.97,88.25,112.99,66.97
"Mathematics","Classroom Practices in Middle School Mathematics",NA,NA,NA,NA,NA
"Mechanical and Aerospace Engineering","Introduction to Computer Programming with MATLAB",9780898716917,72.96,51.96,60.35,38.31
"Medicine","UCLA Centennial Initiative: Breathe Well--Tobacco-Free Campus, Medicine, Nursing, and Public Health",NA,NA,NA,NA,NA
"Middle Eastern Studies","First Civilizations",9780140449198,12.46,9.96,13.49,5.92
"Military Science","Foundations of Officership",NA,NA,NA,NA,NA
"Military Science","Individual Leadership Development",NA,NA,NA,NA,NA
"Molecular, Cell, and Developmental Biology","Stem Cell Biology, Politics, and Ethics: Teasing Apart Issues",9781319149581,50.96,41.96,49.31,33.49
"Music","Chamber Singers",NA,NA,NA,NA,NA
"Music","Opera Workshop",NA,NA,NA,NA,NA
"Music","Symphonic Band",NA,NA,NA,NA,NA
"Music","UCLA Chorale",NA,NA,NA,NA,NA
"Music","Undergraduate Instruction in Performance: Oboe",NA,NA,NA,NA,NA
"Musicology","Beethoven",9789891812800,22,NA,NA,NA
"Musicology","History of Rock and Roll",9780199811700,55.46,42.96,55.74,33.35
"Musicology","Introduction to Musicianship",9780393284911,89.96,84.96,100.19,84.32
"Neuroscience","Brain Made Simple: Neuroscience for 21st Century",NA,NA,NA,NA,NA
"Nursing","Introduction to Nursing and Social Justice I",9781133129165,186.96,140.26,111.76,26.72
"Obstetrics and Gynecology","Biology of Stem Cells",NA,NA,NA,NA,NA
"Philosophy","Meaning and Communication",NA,NA,NA,NA,NA
"Philosophy","Why Not Anarchy?",NA,NA,NA,NA,NA
"Political Science","World Politics",9780393938098,106.97,88.25,NA,53.06
"Portuguese","Intensive Portuguese",9781269995542,219.97,170.75,NA,NA
"Portuguese","Spanish, Portuguese, and Nature of Language",9781337559577,133.96,109.96,133.75,113.3
"Sociology","Sex from Biology to Gendered Society",NA,NA,NA,NA,NA
"Spanish","Intermediate Spanish",9781323771174,229.27,NA,229.37,164.45
"Spanish","Introductory Spanish for Heritage Speakers",9781285718842,145.97,NA,146.95,289.65
"Statistics","Statistics and Portfolio Risk Management with Stock Market Applications",NA,NA,NA,NA,NA
"Theater","Dance for Musical Theater I",NA,NA,NA,NA,NA
"Theater","Introduction to Design",9780415547543,63.95,48,57.23,45.77
"Theater","Production Practice in Theater, Film, Video, and Digital Media",NA,NA,NA,NA,NA
"Theater","Singing for Musical Theater I",9781458443182,19.99,15,17,13.37
"Theater","Tai Chi",NA,NA,NA,NA,NA
"Theater","Theater Production",NA,NA,NA,NA,NA
"Theater","Theater Production: Theater Production Props",NA,NA,NA,NA,NA
"Theater","Theater Production: Theater Production Special",NA,NA,NA,NA,NA
"World Arts and Cultures","Introduction to American Indian Studies",9781138477858,47.97,44.97,47.45,51.2
"World Arts and Cultures","Video Tools and Techniques",NA,NA,NA,NA,NA
"Anthropology","Animals in Translation: Evolutionary Approaches to Animal Thinking and Autism",NA,NA,NA,NA,NA
"Art","Painting",NA,NA,NA,NA,NA
"Art","Modernism",NA,NA,NA,NA,NA
"Astronomy","Life in Universe",9781938168284,56.96,43.46,43.08,43.25
"Chemistry and Biochemistry","Structure of Organic Molecules",9781319255015,200.75,150.75,NA,NA
"Chemistry and Biochemistry","PEERS Collaborative Learning Workshops for Life Sciences Majors",NA,NA,NA,NA,NA
"Chicana and Chicano Studies","Intermediate Nahuatl",NA,NA,NA,NA,NA
"Comparative Literature","Literature and Writing: Middle Ages to 17th Century",NA,NA,NA,NA,NA
"Comparative Literature","Short Works of Franz Kafka, or How Modern World Works",9780805210576,11.96,9.96,12.29,5.88
"Dance","Moving Voice",NA,NA,NA,NA,NA
"Ecology and Evolutionary Biology","Deep-Sea Communities: High Diversity in Extreme Environments",NA,NA,NA,NA,NA
"Electrical and Computer Engineering","Physics for Electrical Engineers",NA,NA,NA,NA,NA
"149.96",NA,NA,NA,NA,NA,NA
"English","Being There: History and Gossip in Jean Froissart's Chronicles",9780140442007,15.27,9.75,14.4,5.44
"English","American Novel",9780142437278,12.26,9.96,14,5.7
"English Composition","Introduction to University Discourse",9781319057442,71.97,55.97,41.49,39.42
"English Composition","English Composition, Rhetoric, and Language",9781457699214,78.97,39.97,76.7,28.28
"Ethnomusicology","Introduction to Musicianship",9780393284911,89.96,84.96,98.2,84.32
"Ethnomusicology","Instruction in Jazz Performance: Saxophone",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Performance Organizations: Music of Bali",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Performance Organizations: Music of Persia",NA,NA,NA,NA,NA
"Ethnomusicology","Musical Cultures of World: Europe and Americas",NA,NA,NA,NA,NA
"Ethnomusicology","Global Pop",NA,NA,NA,NA,NA
"Ethnomusicology","World Music Performance Organizations: Open Ensemble: Charles Mingus Ensemble",NA,NA,NA,NA,NA
"Ethnomusicology","Instruction in Jazz Performance: Voice",NA,NA,NA,NA,NA
"Ethnomusicology","Instruction in Jazz Performance: String Bass",NA,NA,NA,NA,NA
"French","Intermediate French",NA,NA,NA,NA,NA
"French","French Cinema and Culture",NA,NA,NA,NA,NA
"Geography","Globalization: Regional Development and World Economy",NA,NA,NA,NA,NA
"Geography","World Regions: Concepts and Contemporary Issues",NA,NA,NA,NA,NA
"German","Elementary German",9781680044287,255.97,198.25,NA,183.37
"History","History of the U.S. and Its Colonial Origins: Colonial Origins and First Nation Building Acts",NA,NA,NA,NA,NA
"History","What Is History? An Introduction to Historical Thinking and Practice",NA,NA,NA,NA,NA
"History","Introduction to Western Civilization: Circa 1715 to Present",9780393621969,102.75,77.25,NA,71.36
"History","China's Modern Youth Culture in Historical Perspective",NA,NA,NA,NA,NA
"History","Introduction to Historical Practice: Politics of Economic Knowledge",NA,NA,NA,NA,NA
"History","Animals R Us",NA,NA,NA,NA,NA
"Indigenous Languages of the Americas","Intermediate Nahuatl",NA,NA,NA,NA,NA
"Italian","Elementary Italian--Continued",9781285074818,138.97,99.97,136.92,35.54
"Japanese","Intermediate Modern Japanese",9784789014434,53.96,43.96,NA,41.95
"Life Sciences","Life: Concepts and Issues",9781319065447,159.96,119.96,126.71,77.44
"Linguistics","Language in Action: Perspectives from Applied Linguistics",9781138957084,45.96,35.96,50.95,12.98
"Linguistics","Introduction to Study of Language",9780061336461,17.26,12.46,16.79,5.58
"Mathematics","Calculus for Life Sciences Students",9781118988527,109.97,NA,NA,NA
"Mathematics","Precalculus",NA,NA,NA,NA,NA
"Music","Marching and Varsity Bands",NA,NA,NA,NA,NA
"Music","Undergraduate Instruction in Performance: Harp",NA,NA,NA,NA,NA
"Music","Undergraduate Instruction in Performance: String Bass",NA,NA,NA,NA,NA
"Music","Undergraduate Instruction in Performance: Trombone",NA,NA,NA,NA,NA
"Music","Undergraduate Instruction in Performance: Trumpet",NA,NA,NA,NA,NA
"Music","Early Music Ensemble",NA,NA,NA,NA,NA
"Music","Undergraduate Instruction in Performance: Clarinet",NA,NA,NA,NA,NA
"Musicology","Writing about Music",9780393631678,29.5,22.25,30.33,28.42
"Nursing","Pathophysiology II",9781451190809,118.96,75.96,97.92,48.96
"Philosophy","Introduction to Political Philosophy",9780872207363,14.76,10.96,13.39,5.6
"Philosophy","Logic, First Course",9780195155044,89.97,75,89.89,33.98
"Philosophy","Skepticism and Rationality",NA,NA,NA,NA,NA
"Political Science","Introduction to American Politics",9780393283761,89.97,76.5,87.88,56.17
"Political Science","Politics and Strategy",NA,NA,NA,NA,NA
"Portuguese","Advanced Composition and Style",NA,NA,NA,NA,NA
"Sociology","Physician-Patient Interaction in Medical Visit",9780520287266,27.46,23.46,29.95,16.39
"Spanish","Intermediate Spanish",9781323771174,229.27,NA,229.37,164.45
"Spanish","Catalan Language and Culture I",NA,NA,NA,NA,NA
"Spanish","Intermediate Spanish for Heritage Speakers",9781285718842,145.97,NA,146.95,289.65
"Spanish","Advanced Spanish Composition for Heritage Speakers",9781680040135,169.97,NA,NA,89.6
"Theater","Introduction to Performance",NA,NA,NA,NA,NA
"World Arts and Cultures","Special Studies in World Arts and Cultures",NA,NA,NA,NA,NA
"African American Studies","UCLA Centennial Initiative: Social Justice, Student Activism, and Academic Advancement Program",9780345386816,6.97,5.47,7.94,4.84
"Earth, Planetary, and Space Sciences","Introduction to Earth Science",9781464138744,179.97,139.97,158.96,75.82
"Earth, Planetary, and Space Sciences","Introduction to Computing for Geoscientists",NA,NA,NA,NA,NA
"Art History","Art and Architecture of Ancient Americas",9781466399365,19.95,12.75,14.95,12.98
"Asian American Studies","History of Asian Americans",9781419718786,14.96,12.96,12.23,12.23
"Asian American Studies","Asian American Movement",NA,NA,NA,NA,NA
"Greek","Intermediate Greek",9781614273974,27.97,19.5,29.95,32.73
"Greek","Elementary Modern Greek",9789607307682,49.95,37.5,NA,NA
"Atmospheric and Oceanic Sciences","Air Pollution",9781107691155,99.99,69.97,86.49,70.71
"Chinese","Elementary Modern Chinese for Advanced Beginners",9781622911356,59.99,45,56.99,45.58
"Chinese","Intermediate Modern Chinese",9781622911561,66.96,56.96,66.99,48.23
"Chinese","Chinese Civilization",NA,NA,NA,NA,NA
"Clusters","Food: Lens for Environment and Sustainability",9780134810102,139.96,119.96,NA,NA
"Clusters","Evolution of Cosmos and Life",9780767908184,10.96,9.26,9.99,5.5
"Physics","Why Are We Here? Origin of Universe, Life, and Consciousness",NA,NA,NA,NA,NA
"Physics","PEERS Collaborative Learning Workshops for Physical Sciences and Engineering Majors",NA,NA,NA,NA,NA
"Physics","Physics for Life Sciences Majors: Electricity, Magnetism, and Modern Physics",9780135392737,229.97,NA,NA,NA
"Computer Science","Logic Design of Digital Systems",NA,NA,NA,NA,NA
"Labor and Workplace Studies","Introduction to Labor and Workplace Studies",9780983628910,15,11.25,NA,NA
"Psychology","Introductory Psychology",9781464155468,256.75,192.75,NA,NA
"Digital Humanities","Los Angeles Tech City: Digital Technologies and Spatial Justice",NA,NA,NA,NA,NA
"Russian","Introduction to Russian Film",9781618112125,19.96,17.26,23.2,20.48
"Russian","Elementary Russian",9780781812511,34.26,25.46,29.36,24.99
"Religion, Study of","Social, Cultural, and Religious Institutions of Judaism",9780231134897,35.96,24.96,32.4,17.47
"Religion, Study of","Religion in Los Angeles",NA,NA,NA,NA,NA
"University Studies","ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for Incoming Freshmen",NA,NA,NA,NA,NA
"University Studies","ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for Incoming Transfers",NA,NA,NA,NA,NA
"Information Studies","Internet and Society",NA,NA,NA,NA,NA
"International and Area Studies","Introduction to International and Area Studies",NA,NA,NA,NA,NA
"Korean","Elementary Korean for Korean-Heritage Speakers",9780824834401,24.96,19.96,23.79,17.8
"Korean","Elementary Modern Korean",9780824834401,24.96,19.96,23.79,17.8
"Science Education","Classroom Practices in Middle School Science",NA,NA,NA,NA,NA
"Public Affairs","Using Data to Learn about Society: Introduction to Empirical Research and Statistics",NA,NA,NA,NA,NA
"Jewish Studies","Social, Cultural, and Religious Institutions of Judaism",9780231134897,35.96,24.96,32.4,17.47
